Name,Code ,Lattitude ,Longitude
Afghanistan,AFG,33.838806,66.026471
Albania,ALB,40.64109,20.156691
Algeria,DZA,28.16324,2.632388
American Samoa,ASM,-14.270972,-170.132217
Andorra,AND,42.506287,1.521801
Angola,AGO,-11.202692,17.873886
Antigua and Barbuda,ATG,17.060816,-61.796429
Argentina,ARG,-38.416096,-63.616673
Armenia,ARM,40.069099,45.038189
Aruba,ABW,12.52111,-69.968338
Australia,AUS,-25.274399,133.775131
Austria,AUT,47.516232,14.550072
Azerbaijan,AZE,40.143105,47.576927
Bahamas,BHS,25.034281,-77.396278
Bahrain,BHR,26.0667,50.557701
Bangladesh,BGD,23.684994,90.356331
Barbados,BRB,13.193887,-59.543198
Belarus,BLR,53.709808,27.953388
Belgium,BEL,50.503887,4.469936
Belize,BLZ,17.189877,-88.49765
Benin,BEN,9.30769,2.315834
Bermuda,BMU,32.3078,-64.750504
Bhutan,BTN,27.514162,90.433601
Bolivia,BOL,-16.290154,-63.588654
Botswana,BWA,-22.328474,24.684866
Brazil,BRA,-14.235004,-51.925282
Brunei Darussalam,BRN,4.535277,114.727669
Bulgaria,BGR,42.733883,25.48583
Burkina Faso,BFA,12.238333,-1.561593
Burundi,BDI,-3.373056,29.918886
Cabo Verde,CPV,14.9167,-23.5075
Cambodia,KHM,12.565679,104.990967
Cameroon,CMR,7.369722,12.354722
Canada,CAN,56.130367,-106.346771
Cayman Islands,CYM,19.313299,-81.254601
Central African Republic,CAF,6.611111,20.939444
Chad,TCD,15.454166,18.732206
Channel Islands,CHI,33.446758,-119.37912
Chile,CHL,-35.675148,-71.542969
China,CHN,35.86166,104.195396
Colombia,COL,4.570868,-74.297333
Comoros,COM,-11.6455,43.333302
"Congo, Dem. Rep.",COD,-4.038333,21.758663
"Congo, Rep.",COG,-4.2739,15.28151
Costa Rica,CRI,9.748917,-83.753426
Cote d'Ivoire,CIV,5.34939,-4.01705
Croatia,HRV,45.099998,15.2
Cuba,CUB,21.521757,-77.781166
Curacao,CUW,12.16957,-68.990021
Cyprus,CYP,35.126411,33.429859
Czech Republic,CZE,49.817493,15.472962
Denmark,DNK,56.26392,9.501785
Djibouti,DJI,11.825138,42.590275
Dominica,DMA,15.414999,-61.370975
Dominican Republic,DOM,18.735693,-70.162651
Ecuador,ECU,-1.831239,-78.183403
"Egypt, Arab Rep.",EGY,36.08247,-80.770363
El Salvador,SLV,13.794185,-88.89653
Equatorial Guinea,GNQ,1.650801,10.267895
Eritrea,ERI,15.339,38.937111
Estonia,EST,58.595272,25.013607
Eswatini,SWZ,-25.472811,28.05147
Ethiopia,ETH,145000,40.489674
Faroe Islands,FRO,61.892635,-6.911806
Fiji,FJI,-17.713371,178.065033
Finland,FIN,61.92411,25.748152
France,FRA,46.227638,2.213749
French Polynesia,PYF,-17.679743,-149.406845
Gabon,GAB,50.19013,4.60806
